indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2022-07,854932.0022,345512.3378,3022541.7557,118741.0721,4122.9626,4345850.1304,140.1887,1701845.390137000,764489.02502403,56.7515
2022-08,862214.3159,359327.6591,3042124.5016,118252.1563,4434.9234,4386353.5563,141.4953,1726768.027899000,776248.02240504,57.0637
2022-09,829624.6011,339440.6748,2794751.1964,114413.0470,4146.8151,4082376.3344,136.0792,1616958.392418000,673123.12478993,56.0968
2022-10,844532.6695,349387.0147,2796816.4295,117547.1699,4373.5550,4112656.8386,132.6663,1577797.495051000,700158.95846305,55.3889
2022-11,808157.2392,340614.9865,2529765.3853,112334.8529,4516.7139,3795389.1778,126.5130,1388999.419319000,656161.76369803,53.8854
2022-12,828510.4688,352267.5744,2691048.9661,115288.3233,4209.6053,3991324.9379,128.7524,1537285.730060000,658215.433145,55.0068
2023-01,822288.9335,346443.1341,2705023.0841,115027.8483,4279.7062,3993062.7062,128.8085,1558034.527334000,640839.80869600,55.0674
2023-02,741077.8852,314849.2363,2474030.2392,103327.9129,3909.1223,3637194.3959,129.8998,1456498.705479000,561332.82322396,55.4777
2023-03,820011.1089,345268.8881,2711716.3722,112697.4068,4262.5144,3993956.2904,128.8373,1624372.756301000,614751.71460702,56.0628
2023-04,751579.7636,330040.9038,2668665.9119,108649.5710,4193.4602,3863129.6105,128.7710,1547553.073722378,640749.28699297,56.6458
2023-05,811668.3283,347233.1050,2908748.7123,111650.2360,4543.2083,4183843.5899,134.9627,1776050.186548681,662093.36154900,58.2752
2023-06,792241.5695,340376.0596,2901327.3032,107646.5083,4568.5703,4146160.0109,138.2053,1856147.330183050,615205.46650198,59.6058
2023-07,802933.0459,353818.5402,3010809.3872,110597.4830,4600.1861,4282758.6424,138.1535,1991621.876480043000,578388.81426101,60.0083
2023-08,803914.9185,352104.1613,3206325.8261,109707.3707,4536.2659,4476588.5425,144.4061,2104036.177152613000,656175.83356401,61.6588
2023-09,770758.9054,343925.1659,3072055.7154,105241.7334,4526.9737,4296508.4938,143.2169,2002690.623524242999994,641295.00206202,61.5380
2023-10,781951.9058,357851.9851,2652602.5235,108316.5733,4342.2296,3905065.2173,125.9698,1750411.59200700000013,501739.02205699,57.6725
2023-11,714730.3380,337056.6725,2629891.2073,104024.1371,3886.2861,3789588.6410,126.3196,1757671.4942770000000,534129.509748995,60.4762
2023-12,665455.8780,347020.9495,2415009.6720,107007.8136,4241.8615,3538736.1746,114.1528,1581488.2482290000001,477245.4697925,58.1771
2024-01,682615.5851,342479.7818,2702096.6806,106192.3961,4557.4060,3837941.8496,123.8046,1736564.25053700000002,569147.4291064,60.0768
2024-02,716014.8637,322065.9309,2746594.3758,98939.4740,4046.6169,3887661.2613,134.0573,1776894.33018473800041,567210.3794942,60.2960
2024-03,763206.2694,335240.9224,2966386.1653,105303.5847,4272.1584,4174409.1002,134.6584,1924896.0010898250007,620220.5491048,60.9695
2024-04,724633.3455,319269.5915,2934957.3876,101464.2804,4405.7685,4084730.3735,136.1577,1916375.45325903599997,600625.776807375,61.6198
2024-05,772023.9466,333597.1345,3439697.6475,104719.0544,4333.6403,4654371.4233,150.1410,2388109.742737633999959,631738.48305511,64.8820
2024-06,720480.6940,315399.8976,3286134.8811,100386.1993,4337.4743,4426739.1463,147.5580,2326445.93055038399996,562173.3619281,65.2539
2024-07,744960.7183,312646.0556,3544368.9950,103516.4432,3581.3832,4709073.5953,151.9056,2557355.07989329999934,593572.6007824,66.9118
2024-08,743659.4860,331390.8932,3560944.3681,104424.1432,3592.2656,4744011.1561,153.0326,2589597.66356331300017,560832.7797780,66.4086
2024-09,725994.4009,321563.0159,3264607.0317,100913.1159,3488.3859,4416565.9503,147.2189,2353369.16762485900013,520083.8163133,65.0608
2024-10,804422.2286,330683.5868,2883778.0906,105619.8020,3578.4419,4128082.1499,133.1639,2002153.1950499790000,503395.808097269,60.6952
2024-11,737680.6943,310780.8096,2662173.3698,101260.9692,3431.5580,3815327.4009,127.1776,1859696.6678959610000,451893.46306965,60.5869
2024-12,723347.5662,325201.7771,2702780.2275,104054.2108,3619.6115,3859003.3931,124.4840,1899850.31219276200048,459172.9392705,61.1304
2025-01,858563.2142,317342.7839,3012935.6362,101826.4483,3564.2872,4294232.3698,138.5236,2119577.74869210100002,518815.3619073,61.4404
2025-02,811166.6792,282368.1041,2865619.5410,92076.9780,3256.3094,4054487.6117,144.8031,2071396.943619320000118,458907.2095522,62.4075
2025-03,775446.6428,63253.8251,2632118.3821,56922.3685,2707.8100,3530449.0285,113.8855,1827613.45205582200001,443915.5009918,64.3411
