indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2009-01,759716.1344,432277.9948,2329856.0766,540776.0169,5301.0548,4067927.2775,131.2235,940.709,87738.53725,2.1800
2009-02,717881.3372,403683.4941,2093354.6757,500519.4362,4745.4330,3720184.3762,132.8637,668.866,83037.48309,2.2501
2009-03,794353.5477,456116.9229,2399335.7471,541471.6198,5239.2870,4196517.1245,135.3715,691.808,95699.57064,2.2969
2009-04,833362.6186,443753.9940,2301941.1100,480836.2220,5012.5937,4064906.5383,135.4969,670.323,88561.80912,2.1952
2009-05,824889.0721,461795.1747,2365003.2690,539842.6656,5084.6020,4196614.7834,135.3747,788.313,92153.02614,2.2147
2009-06,870544.4451,431015.9732,2336595.4520,525167.1148,4435.7818,4167758.7669,138.9253,833.567,88528.97869,2.1441
2009-07,901966.9820,463195.1372,2377104.8182,537320.1471,4712.7181,4284299.8026,138.2032,832.391,83683.96511,1.9727
2009-08,785769.9373,366947.3733,2317178.3680,542250.9192,4976.7352,4017123.3330,129.5846,677.294,83329.02305,2.0912
2009-09,870329.7289,433828.7130,2173254.7025,512385.5495,4635.9940,3994434.6879,133.1478,712.804,85043.48221,2.1469
2009-10,882167.6534,452162.2419,2241361.9710,535961.1641,5176.6060,4116829.6364,132.8010,704.131,90233.68722,2.2089
2009-11,839937.5366,421270.1840,1955164.2503,508462.1601,5092.2430,3729926.3740,124.3309,936.856,71524.65555,1.9427
2009-12,836672.7945,425345.0725,2081578.4735,515385.4917,5108.4780,3864090.3102,124.6481,1635.647,71580.13865,1.8948
2010-01,812268.8840,441688.0789,2126799.6887,498170.9253,5130.9580,3884058.5349,125.2922,1477.661,84617.26415,2.2166
2010-02,789114.5140,402232.4624,1986150.3506,441639.6220,4643.5370,3623780.4860,129.4207,1372.186,80117.83159,2.2488
2010-03,869895.2808,444158.5956,2161598.4395,462523.9827,4988.8080,3943165.1066,127.1989,1590.826,95603.67242,2.4649
2010-04,814862.0449,413538.6041,2117300.7666,464200.8477,4764.6610,3814666.9243,127.1556,444.031,92162.05588,2.4276
2010-05,896859.3673,458271.9892,2272074.6825,475080.9789,4902.5520,4107189.5699,132.4900,453.811,99003.27681,2.4215
2010-06,900910.5289,446890.5000,2189794.9604,460730.2763,4524.2860,4002850.5516,133.4284,472.648,102937.14067,2.5834
2010-07,988388.4605,460651.2402,2241377.8409,465685.7220,4510.3360,4160613.5996,134.2133,774.885,106785.13486,2.5852
2010-08,969696.4967,452112.0446,2273487.1450,451986.9431,5124.5400,4152407.1694,133.9486,928.884,110609.18796,2.6861
2010-09,882851.5307,440381.3899,2184110.9441,426391.1466,5068.9190,3938803.9303,131.2935,1328.842,109615.11695,2.8167
2010-10,866665.9983,459509.1879,2196858.0078,434775.7528,5360.3790,3963169.3258,127.8442,1717.174,120278.29632,3.0782
2010-11,801749.6882,438695.6791,2063264.6228,403292.1944,5024.6180,3712026.8025,123.7342,1678.374,110827.01990,3.0308
2010-12,842429.4122,372733.9697,2168204.4953,418618.4244,5138.0550,3807124.3566,122.8105,857.996,127861.94961,3.3810
2011-01,817460.7924,434487.0204,2149445.2098,410366.7451,5200.9490,3816960.7167,123.1278,808.604,129779.15835,3.4212
2011-02,759456.8589,394395.8475,1935243.6604,363095.2052,4812.8920,3457004.4640,123.4644,841.677,109672.09035,3.1968
2011-03,801917.9607,431436.4029,2135248.5830,394315.8170,5209.2590,3768128.0226,121.5525,749.751,126902.00904,3.3877
2011-04,907759.4501,303311.0634,2037230.9916,359534.5635,4890.6540,3612726.7226,120.4242,503.530,135055.96394,3.7523
2011-05,950930.3061,358491.2572,2153042.4003,406850.9324,5167.9490,3874482.8450,124.9833,784.808,150174.44303,3.8962
2011-06,948179.1963,354322.7641,2115339.4562,394765.7343,4914.5820,3817521.7329,127.2507,872.089,155630.69385,4.0996
2011-07,948253.7024,400354.4784,2169809.3381,398110.3716,4985.4190,3921513.3095,126.5004,811.159,163052.55086,4.1786
2011-08,971320.5982,428667.8844,2158882.6967,395816.9445,5086.7820,3959774.9058,127.7347,3135.764,172051.27326,4.4242
2011-09,936804.2774,427499.8053,2071605.4721,376992.3787,5142.8370,3818044.7705,127.2682,5206.409,172247.06709,4.6478
